OPEID,Name,Address,City,State,StateDesc,ZipCode,ZipExt,ProgLength,SchoolType,Year1,Num1,Denom1,DRate1,PRate1,EthnicCode,CongDis,Region,AverageorGreaterthan30,Year2,Num2,Denom2,DRate2,PRate2,Year3,Num3,Denom3,DRate3,PRate3
1002,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY                     ,4900 MERIDIAN STREET                              ,NORMAL              ,AL,ALABAMA                                                     ,35762,1357,8,Public,2016,342,1875,18.2,A,2,5,4,0,2015,378.0,1902.0,19.8,A,2014,332.0,1753.0,18.9,A
1003,FAULKNER UNIVERSITY                                              ,5345 ATLANTA HIGHWAY                              ,MONTGOMERY          ,AL,ALABAMA                                                     ,36109,3398,8,Private,2016,172,1371,12.5,A,5,2,4,0,2015,180.0,1471.0,12.2,A,2014,192.0,1470.0,13.0,A
1004,UNIVERSITY OF MONTEVALLO                                         ,PALMER CIRCLE                                     ,MONTEVALLO          ,AL,ALABAMA                                                     ,35115,6000,8,Public,2016,56,757,7.3,A,5,6,4,0,2015,72.0,784.0,9.1,A,2014,64.0,793.0,8.0,A
1005,ALABAMA STATE UNIVERSITY                                         ,915 SOUTH JACKSON STREET                          ,MONTGOMERY          ,AL,ALABAMA                                                     ,36104,5714,8,Public,2016,382,1874,20.3,P,2,3,4,0,2015,466.0,2208.0,21.1,P,2014,471.0,2419.0,19.4,P
1007,CENTRAL ALABAMA COMMUNITY COLLEGE                                ,1675 CHEROKEE ROAD                                ,ALEXANDER CITY      ,AL,ALABAMA                                                     ,35010,0,5,Public,2016,92,468,19.6,P,5,3,4,0,2015,131.0,579.0,22.6,P,2014,184.0,674.0,27.2,P
1008,ATHENS STATE UNIVERSITY                                          ,300 NORTH BEATY STREET                            ,ATHENS              ,AL,ALABAMA                                                     ,35611,1999,8,Public,2016,67,893,7.5,A,5,5,4,0,2015,66.0,924.0,7.1,A,2014,49.0,901.0,5.4,A
1009,AUBURN UNIVERSITY                                                ,107 SAMFORD HALL                                  ,AUBURN              ,AL,ALABAMA                                                     ,36849,5113,8,Public,2016,134,3670,3.6,P,5,3,4,0,2015,114.0,3750.0,3.0,P,2014,139.0,3676.0,3.7,P
1012,BIRMINGHAM-SOUTHERN COLLEGE                                      ,900 ARKADELPHIA ROAD                              ,BIRMINGHAM          ,AL,ALABAMA                                                     ,35254,2,6,Private,2016,10,205,4.8,A,5,7,4,0,2015,15.0,227.0,6.6,A,2014,11.0,250.0,4.4,A
1013,CALHOUN COMMUNITY COLLEGE                                        ,6250 HIGHWAY 31 NORTH                             ,TANNER              ,AL,ALABAMA                                                     ,35671,0,5,Public,2016,366,2176,16.8,P,5,5,4,0,2015,433.0,2489.0,17.3,P,2014,428.0,2264.0,18.9,P
1015,ENTERPRISE STATE COMMUNITY COLLEGE                               ,600 PLAZA DRIVE                                   ,ENTERPRISE          ,AL,ALABAMA                                                     ,36331,1300,5,Public,2016,58,323,17.9,A,5,2,4,0,2015,79.0,377.0,20.9,A,2014,109.0,490.0,22.2,A
1016,UNIVERSITY OF NORTH ALABAMA                                      ,ONE HARRISON PLAZA                                ,FLORENCE            ,AL,ALABAMA                                                     ,35632,1,8,Public,2016,170,1463,11.6,A,5,5,4,0,2015,149.0,1547.0,9.6,A,2014,176.0,1539.0,11.4,A
