opeid,stateabv,state,county,city,name,address,zipcode,proglength,schooltype,year1,num1,denom1,drate1,prate1,ethniccode,region,lat,lng,population,density,agemedian,male,female,married,familysize,incomehouseholdmedian,incomehouseholdsixfigure,homeownership,homevalue,rentmedian,educationcollegeorabove,laborforceparticipation,unemploymentrate,racewhite,raceblack,raceasian,racenative,racepacific,raceother,racemultiple
1003,AL,Alabama,Montgomery,Montgomery,FAULKNER UNIVERSITY                                              ,5345 ATLANTA HIGHWAY                              ,36109,8,2,2016,172,1371,12.5,A,5,4,32.3473,-86.2666,255908,481,35,47.1,52.9,37.1,3.16,44339,17.7,56,116695,865,31.8,61.8,7.9,34.1,60,2.5,0.2,0,1.3,1.9
1004,AL,Alabama,Shelby,Montevallo,UNIVERSITY OF MONTEVALLO                                         ,PALMER CIRCLE                                     ,35115,8,1,2016,56,757,7.3,A,5,4,33.1254,-86.8482,6636,204,27.9,44.7,55.3,32.7,3.32,37929,11.8,56.6,160842,649,26.6,57.9,10.8,71.4,23,0.5,0,0.2,3.4,1.5
1005,AL,Alabama,Montgomery,Montgomery,ALABAMA STATE UNIVERSITY                                         ,915 SOUTH JACKSON STREET                          ,36104,8,1,2016,382,1874,20.3,P,2,4,32.3473,-86.2666,255908,481,35,47.1,52.9,37.1,3.16,44339,17.7,56,116695,865,31.8,61.8,7.9,34.1,60,2.5,0.2,0,1.3,1.9
1007,AL,Alabama,Tallapoosa,Alexander City,CENTRAL ALABAMA COMMUNITY COLLEGE                                ,1675 CHEROKEE ROAD                                ,35010,5,1,2016,92,468,19.6,P,5,4,32.9242,-85.9361,9222,134,39.4,45.7,54.3,44.7,2.95,32337,9.6,57.5,103175,561,15.5,51,11.6,59.3,35.8,1,0.3,0,2.8,0.8
1008,AL,Alabama,Limestone,Athens,ATHENS STATE UNIVERSITY                                          ,300 NORTH BEATY STREET                            ,35611,8,1,2016,67,893,7.5,A,5,4,34.7847,-86.951,29192,248,40.4,48.3,51.7,46.5,3.33,47741,22.8,64.8,143275,785,27,58.6,8.8,76.4,16.4,1.6,1.3,0.3,1.7,2.4
1009,AL,Alabama,Lee,Auburn,AUBURN UNIVERSITY                                                ,107 SAMFORD HALL                                  ,36849,8,1,2016,134,3670,3.6,P,5,4,32.6087,-85.4899,89577,410,24.1,49.6,50.4,34.1,3.09,42600,24.5,44,236281,1171,58.1,57.8,5.3,71.9,17.5,7.7,0.1,0,1.7,1
1012,AL,Alabama,Jefferson,Birmingham,BIRMINGHAM-SOUTHERN COLLEGE                                      ,900 ARKADELPHIA ROAD                              ,35254,6,2,2016,10,205,4.8,A,5,4,33.5277,-86.7987,744189,556,35.7,47.3,52.7,27.9,3.11,33770,10.2,46.1,87783,776,25.7,60.2,10.7,24.6,71.6,0.8,0.2,0,1.5,1.3
1015,AL,Alabama,Coffee,Enterprise,ENTERPRISE STATE COMMUNITY COLLEGE                               ,600 PLAZA DRIVE                                   ,36331,5,1,2016,58,323,17.9,A,5,4,31.3276,-85.8459,38737,356,37.3,48.5,51.5,51.8,3.18,54304,23.4,57.5,171948,850,29.1,63,5.9,72.1,21.7,1.7,0.5,0,0.9,3
1016,AL,Alabama,Lauderdale,Florence,UNIVERSITY OF NORTH ALABAMA                                      ,ONE HARRISON PLAZA                                ,35632,8,1,2016,170,1463,11.6,A,5,4,34.8303,-87.6654,78112,581,37.1,46.7,53.3,39.6,2.89,37843,10.7,54.4,125656,672,27.1,55.1,6.4,78,18.8,0.6,0.3,0.1,0.3,1.8
1019,AL,Alabama,Montgomery,Montgomery,HUNTINGDON COLLEGE                                               ,1500 EAST FAIRVIEW AVENUE                         ,36106,6,2,2016,37,375,9.8,A,5,4,32.3473,-86.2666,255908,481,35,47.1,52.9,37.1,3.16,44339,17.7,56,116695,865,31.8,61.8,7.9,34.1,60,2.5,0.2,0,1.3,1.9
1020,AL,Alabama,Calhoun,Jacksonville,JACKSONVILLE STATE UNIVERSITY                                    ,"700 PELHAM ROAD, NORTH                            ",36265,8,1,2016,212,2157,9.8,A,5,4,33.8088,-85.7544,12612,444,26.7,47.5,52.5,29.7,3.12,40012,14.8,49.4,147232,796,32.8,56.3,13.1,71.7,23.5,1.4,0.1,0,0.5,2.8
