opeid,associates,bachelors,firstprofessional,gradprofessional,mastersordoctors,nondegree,nondegree1year,nondegree2years,nondegree3years,private,proprietary,public,hbcuCollege,hispanicCollege,nativeAmericanCollege,notReportedCollege
1003,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1004,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1005,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
1007,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1008,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1009,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1012,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1015,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1016,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1019,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1020,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1022,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1023,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1024,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1026,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1028,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1029,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1031,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1033,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1036,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1038,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1040,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1041,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1044,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1046,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1047,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1050,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1051,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1052,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1055,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1057,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1060,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1061,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1063,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1065,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1071,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1072,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1074,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
1076,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1077,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1078,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1079,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1081,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1082,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1083,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1085,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1086,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
1087,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1088,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1089,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1090,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1091,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1092,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1093,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1094,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1095,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
