OPEID,state abv,state,city,Name,Address,Zip Code,Zip Ext,"Prog
Length","School
Type",Year 1,"
Num 1","
Denom 1",DRate 1,PRate 1,Ethnic Code,Cong Dis,Region,"Average or
Greater than 30",Year 2,"
Num 2","
Denom 2",DRate 2,PRate 2,Year 3,"
Num 3","
Denom 3",DRate 3,PRate 3
1050,AL,Alabama,Tuskegee,TUSKEGEE UNIVERSITY                                              ,308 KRESGE CENTER                                 ,36088,1645,8,2,2016,115,850,13.5,P,2,3,4,0,2015,101,876,11.5,P,2014,93,806,11.5,P
42200,AR,Arkansas,Fort Smith,DESIGNER BARBER & STYLIST SCHOOL                                 ,2409 SOUTH 56TH STREET             SUITE 118      ,72903,3753,3,3,2016,6,30,20,A,5,3,6,0,2015,6,38,15.7,B,2014,1,10,10,B
1104,AR,Arkansas,Helena-West Helena,PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS         ,1000 CAMPUS DRIVE                                 ,72342,0,5,1,2016,20,114,17.5,B,5,1,6,1,2015,4,35,11.4,A,2014,13,59,22,A
39745,CA,California,Canoga Park,CALIFORNIA CAREER COLLEGE                                        ,7003 OWENSMOUTH AVENUE                            ,91303,2006,5,3,2016,2,40,5,A,5,27,9,0,2015,7,71,9.8,A,2014,2,40,5,A
7130,CA,California,Granada Hills,NEWBERRY SCHOOL OF BEAUTY                                        ,16852 DEVONSHIRE STREET                           ,91344,7404,3,3,2016,5,88,5.6,P,5,27,9,0,2015,1,81,1.2,P,2014,6,92,6.5,P
20912,CA,California,Hollywood,ELEGANCE INTERNATIONAL                                           ,6767 SUNSET BOULEVARD                             ,90028,6106,3,3,2016,52,318,16.3,A,5,33,9,0,2015,12,181,6.6,A,2014,8,72,11.1,A
21618,CA,California,Hollywood,MUSICIANS INSTITUTE                                              ,6752 HOLLYWOOD BOULEVARD                          ,90028,6157,8,3,2016,33,432,7.6,A,5,33,9,0,2015,41,480,8.5,A,2014,52,542,9.5,A
40373,CA,California,Hollywood,LOS ANGELES FILM SCHOOL (THE)                                    ,6363 WEST SUNSET BOULEVARD                        ,90028,7300,6,3,2016,193,1077,17.9,A,5,31,9,0,2015,267,1205,22.1,A,2014,281,1384,20.3,A
40764,CA,California,Hollywood,GNOMON                                                           ,1015 NORTH CAHUENGA BOULEVARD      SUITE 5430I    ,90038,2616,6,3,2016,1,49,2,A,5,31,9,0,2015,1,39,2.5,A,2014,1,31,3.2,A
1317,CA,California,La Jolla,"UNIVERSITY OF CALIFORNIA, SAN DIEGO                              ",9500 GILMAN DRIVE                  SUITE #0013 - 4,92093,13,8,1,2016,80,4572,1.7,P,5,53,9,0,2015,105,4928,2.1,P,2014,118,5436,2.1,P
11460,CA,California,La Jolla,NATIONAL UNIVERSITY                                              ,11255 NORTH TORREY PINES ROAD                     ,92037,1011,8,2,2016,310,6234,4.9,A,5,53,9,0,2015,377,6770,5.5,A,2014,415,7195,5.7,A
7607,CA,California,Hollywood,CONCORDE CAREER COLLEGE                                          ,12412 VICTORY BOULEVARD                           ,91606,3134,5,3,2016,30,494,6,A,5,28,9,0,2015,66,503,13.1,A,2014,64,524,12.2,A
41596,CA,California,Hollywood,GALAXY MEDICAL COLLEGE                                           ,6400 LAUREL CANYON BOULEVARD       SUITE 115      ,91606,1593,3,3,2016,13,74,17.5,B,5,28,9,1,2015,3,30,10,A,2014,7,30,23.3,A
