Column1,OPEID,state abv_x,state,county,city,Name,Address,Zip Code,Zip Ext,"Prog
Length","School
Type",Year 1,"
Num 1","
Denom 1",DRate 1,PRate 1,Ethnic Code,Cong Dis,Region,"Average or
Greater than 30",Year 2,"
Num 2","
Denom 2",DRate 2,PRate 2,Year 3,"
Num 3","
Denom 3",DRate 3,PRate 3,state abv_y,city_ascii,city_alt,county_fips,county_fips_all,county_name_all,lat,lng,population,population_proper,density,source,military,incorporated,timezone,ranking,zips,id,age_median,male,female,married,family_size,income_household_median,income_household_six_figure,home_ownership,home_value,rent_median,education_college_or_above,labor_force_participation,unemployment_rate,race_white,race_black,race_asian,race_native,race_pacific,race_other,race_multiple
4,1060,AL,Alabama,Baldwin,Bay Minette,COASTAL ALABAMA COMMUNITY COLLEGE                                ,1900 HIGHWAY 31 SOUTH                             ,36507,2698,5,1,2016,213,1202,17.7,P,5,1,4,0,2015,250,1345,18.5,P,2014,274,1363,20.1,P,AL,Bay Minette,,1003,1003,Baldwin,30.893,-87.7912,8532,9169,205,polygon,FALSE,TRUE,America/Chicago,3,36507,1840000959,32.7,51.6,48.4,35.2,3.96,31310,11.7,49.2,124313,697,15.5,47.7,5,54.9,41.5,0.4,0.4,0,1.5,1.4
11,21706,AL,Alabama,Baldwin,Daphne,UNITED STATES SPORTS ACADEMY                                     ,ONE ACADEMY DRIVE                                 ,36526,7055,8,2,2016,14,226,6.1,A,5,1,4,0,2015,16,203,7.8,A,2014,16,249,6.4,A,AL,Daphne,,1003,1003,Baldwin,30.6286,-87.8866,69065,25960,583,polygon,FALSE,TRUE,America/Chicago,3,36527 36526,1840006178,37.8,49.9,50.1,50.9,3.39,65739,26.4,64.5,189560,1130,41.9,66.7,4.8,80.4,14.9,2.6,0,0,0.8,1.2
16,33614,AL,Alabama,Baldwin,Foley,FORTIS COLLEGE                                                   ,200 EAST LAUREL AVENUE                            ,36535,0,3,3,2016,62,278,22.3,A,5,1,4,0,2015,59,244,24.1,A,2014,65,376,17.2,A,AL,Foley,,1003,1003,Baldwin,30.3984,-87.6648,33113,18288,219,polygon,FALSE,TRUE,America/Chicago,3,36535 36530 36536,1840002084,50.2,46.4,53.6,44.5,2.97,42468,10.1,67.3,161857,818,26.2,51.5,10.5,80.6,15.8,0.7,0.3,0,2.3,0.4
42,41215,AL,Alabama,Baldwin,Orange Beach,COLUMBIA SOUTHERN UNIVERSITY                                     ,21982 UNIVERSITY LANE                             ,36561,3815,8,3,2016,444,4623,9.6,A,5,1,4,0,2015,458,4886,9.3,A,2014,297,3890,7.6,A,AL,Orange Beach,,1003,1003,Baldwin,30.2941,-87.5851,6029,6029,158,polygon,FALSE,TRUE,America/Chicago,3,36561 36530,1840014980,53.9,52.4,47.6,58.4,2.78,69388,31.9,68.3,259226,929,43.7,58,5.8,96.6,0.7,0.2,0,0,0.1,2.4
23,1020,AL,Alabama,Calhoun,Jacksonville,JACKSONVILLE STATE UNIVERSITY                                    ,"700 PELHAM ROAD, NORTH                            ",36265,1602,8,1,2016,212,2157,9.8,A,5,3,4,0,2015,292,2454,11.8,A,2014,272,2393,11.3,A,AL,Jacksonville,,1015,1015,Calhoun,33.8088,-85.7544,12612,12612,444,polygon,FALSE,TRUE,America/Chicago,3,36265,1840007433,26.7,47.5,52.5,29.7,3.12,40012,14.8,49.4,147232,796,32.8,56.3,13.1,71.7,23.5,1.4,0.1,0,0.5,2.8
12,1015,AL,Alabama,Coffee,Enterprise,ENTERPRISE STATE COMMUNITY COLLEGE                               ,600 PLAZA DRIVE                                   ,36331,1300,5,1,2016,58,323,17.9,A,5,2,4,0,2015,79,377,20.9,A,2014,109,490,22.2,A,AL,Enterprise,,1031,01031|01045,Coffee|Dale,31.3276,-85.8459,38737,28247,356,polygon,FALSE,TRUE,America/Chicago,3,36330 36331,1840001548,37.3,48.5,51.5,51.8,3.18,54304,23.4,57.5,171948,850,29.1,63,5.9,72.1,21.7,1.7,0.5,0,0.9,3
40,5697,AL,Alabama,Colbert,Muscle Shoals,NORTHWEST - SHOALS COMMUNITY COLLEGE                             ,800 GEORGE WALLACE BOULEVARD                      ,35662,3206,5,1,2016,191,830,23,P,5,5,4,0,2015,148,675,21.9,P,2014,166,680,24.4,P,AL,Muscle Shoals,,1033,1033,Colbert,34.7435,-87.6343,14022,14022,327,polygon,FALSE,TRUE,America/Chicago,3,35661 35662,1840014657,41.4,47.8,52.2,52.8,3.05,52201,18.6,74.8,135467,772,27.1,58.3,4.8,83.6,13,0.9,1.1,0,0.4,1.1
17,7871,AL,Alabama,Cullman,Hanceville,GEORGE C. WALLACE STATE COMMUNITY COLLEGE                        ,801 MAIN STREET NORTHWEST                         ,35077,2000,5,1,2016,197,1382,14.2,A,5,4,4,0,2015,236,1524,15.4,A,2014,326,1660,19.6,A,AL,Hanceville,,1043,1043,Cullman,34.0634,-86.7652,3352,3391,290,polygon,FALSE,TRUE,America/Chicago,3,35077,1840013642,52.7,47.4,52.6,37,3.02,31424,9,57.8,90431,545,12.3,38.9,14,92.1,5.6,0,0,0,0.4,1.9
45,40673,AL,Alabama,Dallas,Selma,SELMA UNIVERSITY                                                 ,1501 LAPSLEY STREET                DINKINS HALL   ,36701,5232,8,2,2016,73,213,34.2,A,2,7,4,0,2015,111,357,31,A,2014,83,298,27.8,A,AL,Selma,,1047,1047,Dallas,32.4166,-87.0336,21083,18370,513,polygon,FALSE,TRUE,America/Chicago,3,36703 36701 36702,1840008329,37.1,44.3,55.7,29.1,3.15,24223,8.2,44.7,88274,566,17.2,50.2,18.1,17.3,80.4,0.8,0.1,0.1,0.4,0.9
44,1031,AL,Alabama,DeKalb,Rainsville,NORTHEAST ALABAMA COMMUNITY COLLEGE                              ,138  HIGHWAY 35                    138  ALABAMA HI,35986,159,5,1,2016,36,297,12.1,A,5,4,4,0,2015,50,330,15.1,A,2014,80,414,19.3,A,AL,Rainsville,,1049,1049,DeKalb,34.4939,-85.8435,5038,5038,94,polygon,FALSE,TRUE,America/Chicago,3,35986,1840014658,42.2,47.3,52.7,51.1,3.09,37808,10.4,68.9,117939,637,9.3,51.3,6.9,92.3,0.6,0,0.3,0,3.3,3.6
5,1012,AL,Alabama,Jefferson,Birmingham,BIRMINGHAM-SOUTHERN COLLEGE                                      ,900 ARKADELPHIA ROAD                              ,35254,2,6,2,2016,10,205,4.8,A,5,7,4,0,2015,15,227,6.6,A,2014,11,250,4.4,A,AL,Birmingham,,1073,01073|01117,Jefferson|Shelby,33.5277,-86.7987,744189,210710,556,polygon,FALSE,TRUE,America/Chicago,2,35218 35214 35215 35217 35210 35211 35212 35213 35243 35242 35224 35221 35222 35228 35203 35207 35206 35205 35204 35209 35208 35254 35068 35061 35234 35235 35233 35201 35202 35220 35232 35237 35238 35246 35249 35255 35259 35261 35270 35282 35283 35285 35287 35290 35291 35292 35294 35295 35297 35298,1840006507,35.7,47.3,52.7,27.9,3.11,33770,10.2,46.1,87783,776,25.7,60.2,10.7,24.6,71.6,0.8,0.2,0,1.5,1.3
6,1022,AL,Alabama,Jefferson,Birmingham,JEFFERSON STATE COMMUNITY COLLEGE                                ,2601 CARSON ROAD                                  ,35215,3098,5,1,2016,189,1360,13.8,A,5,7,4,0,2015,205,1568,13,A,2014,222,1588,13.9,A,AL,Birmingham,,1073,01073|01117,Jefferson|Shelby,33.5277,-86.7987,744189,210710,556,polygon,FALSE,TRUE,America/Chicago,2,35218 35214 35215 35217 35210 35211 35212 35213 35243 35242 35224 35221 35222 35228 35203 35207 35206 35205 35204 35209 35208 35254 35068 35061 35234 35235 35233 35201 35202 35220 35232 35237 35238 35246 35249 35255 35259 35261 35270 35282 35283 35285 35287 35290 35291 35292 35294 35295 35297 35298,1840006507,35.7,47.3,52.7,27.9,3.11,33770,10.2,46.1,87783,776,25.7,60.2,10.7,24.6,71.6,0.8,0.2,0,1.5,1.3
7,1036,AL,Alabama,Jefferson,Birmingham,SAMFORD UNIVERSITY                                               ,800 LAKESHORE DRIVE                               ,35229,7000,8,2,2016,24,818,2.9,A,5,6,4,0,2015,18,914,1.9,A,2014,20,932,2.1,A,AL,Birmingham,,1073,01073|01117,Jefferson|Shelby,33.5277,-86.7987,744189,210710,556,polygon,FALSE,TRUE,America/Chicago,2,35218 35214 35215 35217 35210 35211 35212 35213 35243 35242 35224 35221 35222 35228 35203 35207 35206 35205 35204 35209 35208 35254 35068 35061 35234 35235 35233 35201 35202 35220 35232 35237 35238 35246 35249 35255 35259 35261 35270 35282 35283 35285 35287 35290 35291 35292 35294 35295 35297 35298,1840006507,35.7,47.3,52.7,27.9,3.11,33770,10.2,46.1,87783,776,25.7,60.2,10.7,24.6,71.6,0.8,0.2,0,1.5,1.3
8,1052,AL,Alabama,Jefferson,Birmingham,UNIVERSITY OF ALABAMA AT BIRMINGHAM                              ,1720 2ND AVENUE SOUTH              LISTER HILL LIB,35294,1150,8,1,2016,237,4135,5.7,P,5,7,4,0,2015,253,4250,5.9,P,2014,241,4224,5.7,P,AL,Birmingham,,1073,01073|01117,Jefferson|Shelby,33.5277,-86.7987,744189,210710,556,polygon,FALSE,TRUE,America/Chicago,2,35218 35214 35215 35217 35210 35211 35212 35213 35243 35242 35224 35221 35222 35228 35203 35207 35206 35205 35204 35209 35208 35254 35068 35061 35234 35235 35233 35201 35202 35220 35232 35237 35238 35246 35249 35255 35259 35261 35270 35282 35283 35285 35287 35290 35291 35292 35294 35295 35297 35298,1840006507,35.7,47.3,52.7,27.9,3.11,33770,10.2,46.1,87783,776,25.7,60.2,10.7,24.6,71.6,0.8,0.2,0,1.5,1.3
9,30108,AL,Alabama,Jefferson,Birmingham,FORTIS INSTITUTE                                                 ,100 LONDON PARKWAY                 SUITE 150      ,35211,0,5,3,2016,296,1358,21.7,A,5,3,4,0,2015,322,1391,23.1,A,2014,384,1611,23.8,A,AL,Birmingham,,1073,01073|01117,Jefferson|Shelby,33.5277,-86.7987,744189,210710,556,polygon,FALSE,TRUE,America/Chicago,2,35218 35214 35215 35217 35210 35211 35212 35213 35243 35242 35224 35221 35222 35228 35203 35207 35206 35205 35204 35209 35208 35254 35068 35061 35234 35235 35233 35201 35202 35220 35232 35237 35238 35246 35249 35255 35259 35261 35270 35282 35283 35285 35287 35290 35291 35292 35294 35295 35297 35298,1840006507,35.7,47.3,52.7,27.9,3.11,33770,10.2,46.1,87783,776,25.7,60.2,10.7,24.6,71.6,0.8,0.2,0,1.5,1.3
13,1028,AL,Alabama,Jefferson,Fairfield,MILES COLLEGE                                                    ,5500 MYRON MASSEY BOULEVARD                       ,35064,2697,6,2,2016,87,781,11.1,A,2,7,4,0,2015,87,774,11.2,A,2014,94,833,11.2,A,AL,Fairfield,,1073,1073,Jefferson,33.4747,-86.9194,10683,10683,1188,polygon,FALSE,TRUE,America/Chicago,3,35064,1840001883,36.8,41.2,58.8,25.9,3.19,36211,8.3,58.4,96135,832,17.7,56.8,12.3,5.1,91.7,0,0.3,0,0,2.8
18,41492,AL,Alabama,Jefferson,Hoover,XCELL ACADEMY A PAUL MITCHELL SCHOOL                             ,1694 MONTGOMERY HIGHWAY            SUITE 124      ,35216,4990,3,3,2016,20,101,19.8,A,5,6,4,0,2015,13,110,11.8,A,2014,19,96,19.7,A,AL,Hoover,,1073,01073|01117,Jefferson|Shelby,33.3754,-86.8065,84920,84920,685,polygon,FALSE,TRUE,America/Chicago,3,35216 35244 35242 35080 35226 35236 35260,1840014795,37.9,46.8,53.2,58.5,3.09,81038,41.3,68.4,271392,1428,56.5,70,4.2,72.7,17.6,5.2,0.2,0,2.5,1.8
14,1016,AL,Alabama,Lauderdale,Florence,UNIVERSITY OF NORTH ALABAMA                                      ,ONE HARRISON PLAZA                                ,35632,1,8,1,2016,170,1463,11.6,A,5,5,4,0,2015,149,1547,9.6,A,2014,176,1539,11.4,A,AL,Florence,,1077,1077,Lauderdale,34.8303,-87.6654,78112,39852,581,polygon,FALSE,TRUE,America/Chicago,3,35633 35630 35631 35632,1840002083,37.1,46.7,53.3,39.6,2.89,37843,10.7,54.4,125656,672,27.1,55.1,6.4,78,18.8,0.6,0.3,0.1,0.3,1.8
