OPEID,state,city,Name,Address,City2,State3,State Desc,Zip Code,Zip Ext,"Prog
Length","School
Type",Year 1,"
Num 1","
Denom 1",DRate 1,PRate 1,Ethnic Code,Cong Dis,Region,"Average or
Greater than 30",Year 2,"
Num 2","
Denom 2",DRate 2,PRate 2,Year 3,"
Num 3","
Denom 3",DRate 3,PRate 3
42401,Antigua,Coolidge,AMERICAN UNIVERSITY OF ANTIGUA COLLEGE OF MEDICINE               ,UNIVERSITY PARK                    JABBERWOCK BEAC,COOLIDGE            ,FC,ANTIGUA             ,     ,    ,7,7,2016,1,54,1.8,A,5,        ,11,0,2015,,,,,2014,0,0,0,A
31000,Australia,Adelaide,UNIVERSITY OF ADELAIDE (THE)                                     ,NORTH TERRACE                                     ,ADELAIDE            ,FC,AUSTRALIA           ,5005,    ,8,5,2016,1,14,7.1,B,5,        ,11,1,2015,1,15,6.6,B,2014,1,15,6.6,B
11091,Australia,"Bedford Park,",FLINDERS UNIVERSITY                                              ,STURT ROAD                                        ,"BEDFORD PARK,       ",FC,AUSTRALIA           ,5042,    ,8,5,2016,0,22,0,B,5,        ,11,1,2015,1,26,3.8,B,2014,1,19,5.2,B
10692,Australia,Brisbane,UNIVERSITY OF QUEENSLAND (THE)                                   ,ST LUCIA                                          ,BRISBANE            ,FC,AUSTRALIA           ,4072,    ,8,5,2016,4,95,4.2,A,5,        ,11,0,2015,3,77,3.8,A,2014,3,65,4.6,A
10588,Australia,Canberra,AUSTRALIAN NATIONAL UNIVERSITY                                   ,"BUILDING 10, CHANCELRY             EAST ROAD, ACTO",CANBERRA            ,FC,AUSTRALIA           ,2601,    ,8,5,2016,1,24,4.1,B,5,        ,11,1,2015,1,26,3.8,B,2014,2,37,5.4,B
10914,Australia,Clayton,MONASH UNIVERSITY                                                ,WELLINGTON ROAD                                   ,CLAYTON             ,FC,AUSTRALIA           ,3800,    ,8,5,2016,0,30,0,B,5,        ,11,1,2015,0,28,0,B,2014,0,28,0,B
11094,Australia,Crawley,UNIVERSITY OF WESTERN AUSTRALIA (THE)                            ,35 STIRLING HIGHWAY                               ,CRAWLEY             ,FC,AUSTRALIA           ,6009,    ,8,5,2016,1,19,5.2,B,5,        ,11,1,2015,1,20,5,B,2014,1,13,7.6,B
30954,Australia,Gold Coast,BOND UNIVERSITY                                                  ,UNIVERSITY DRIVE                   ROBINA         ,GOLD COAST          ,FC,AUSTRALIA           ,4229,    ,8,6,2016,0,30,0,A,5,        ,11,0,2015,0,87,0,B,2014,1,99,1,B
8505,Australia,Melbourne,UNIVERSITY OF MELBOURNE                                          ,GRATTAN STREET                     PARKVILLE      ,MELBOURNE           ,FC,AUSTRALIA           ,3010,    ,8,5,2016,1,44,2.2,A,5,        ,11,0,2015,1,60,1.6,A,2014,2,59,3.3,A
30961,Australia,Melbourne,LA TROBE UNIVERSITY                                              ,BUNDOORA CAMPUS                    LA TROBE UNIVER,MELBOURNE           ,FC,AUSTRALIA           ,3083,    ,8,5,2016,2,19,10.5,B,5,        ,11,1,2015,3,29,10.3,B,2014,8,38,21,B
25796,Australia,Murdoch Perth,MURDOCH UNIVERSITY                                               ,90 SOUTH STREET                                   ,MURDOCH PERTH       ,FC,AUSTRALIA           ,6150,    ,8,5,2016,2,34,5.8,B,5,        ,11,1,2015,4,44,9,B,2014,4,50,8,B
10681,Australia,North Ryde,MACQUARIE UNIVERSITY                                             ,BALACLAVA ROAD                                    ,NORTH RYDE          ,FC,AUSTRALIA           ,2109,    ,8,5,2016,2,39,5.1,B,5,        ,11,1,2015,3,46,6.5,B,2014,2,63,3.1,B
30672,Australia,The University Of Sy,UNIVERSITY OF SYDNEY                                             ,LEVEL 4 F23 ADMINISTRATION BUILDINGCORNER OF EASTE,THE UNIVERSITY OF SY,FC,AUSTRALIA           ,2006,    ,8,5,2016,4,48,8.3,P,5,        ,11,0,2015,4,75,5.3,P,2014,6,76,7.8,P
