opeid,agemedian,cdr2014_log,cdr2015_log,cdr2016_log,cohort2014_log,cohort2015_log,cohort2016_log,density_log,educationcollegeorabove,familysize_log,female_sqrt,homeownership,homevalue_log,incomehouseholdmedian_log,incomehouseholdsixfigure_log,laborforceparticipation_sqrt,male_reciprocal,married,population_log,proglength,raceasian_log,raceblack_log,racemultiple_log,racenative_reciprocal,raceother_log,racepacific,racewhite,rentmedian_log,unemploymentrate_log,associates,bachelors,firstprofessional,gradprofessional,mastersordoctors,nondegree,nondegree1year,nondegree2years,nondegree3years,private,proprietary,public,hbcuCollege,hispanicCollege,nativeAmericanCollege,notReportedCollege
1003,0.30019493199999997,0.571828476,0.559078971,0.617686718,0.608946314,0.615879621,0.582014528,0.558779373,0.315732759,0.442474445,0.418783284,0.538300105,0.32444364800000003,0.41086063799999994,0.65900934,0.47397626200000004,0.542397707,0.452830189,0.61696351,0.7,0.291340036,0.895802421,0.290825569,0.8304794520000001,0.21018642199999998,0.0,0.332995951,0.40422396299999996,0.584498228,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1004,0.161793372,0.476092568,0.501078014,0.502243095,0.557465571,0.562742502,0.5255745,0.458709598,0.259698276,0.49533997799999996,0.37126572700000005,0.5445960129999999,0.400730989,0.35767301799999995,0.5737048610000001,0.5254508960000001,0.601081097,0.39353099700000005,0.293568923,0.7,0.09429415,0.692531177,0.250284668,1.0,0.373886117,0.007633588,0.7105263159999999,0.292466399,0.659911237,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1005,0.30019493199999997,0.653403284,0.670746863,0.725911638,0.650509424,0.650174467,0.611713987,0.558779373,0.315732759,0.442474445,0.418783284,0.538300105,0.32444364800000003,0.41086063799999994,0.65900934,0.47397626200000004,0.542397707,0.452830189,0.61696351,0.7,0.291340036,0.895802421,0.290825569,0.8304794520000001,0.21018642199999998,0.0,0.332995951,0.40422396299999996,0.584498228,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
1007,0.38596491200000005,0.723561165,0.684975983,0.7179811429999999,0.543909335,0.537148194,0.47987616200000005,0.409677271,0.140086207,0.368872629,0.39157498799999996,0.554039874,0.295166588,0.303342528,0.531265952,0.607761236,0.575880626,0.555256065,0.32270762199999997,0.4,0.161196914,0.7856757,0.160553834,0.7652792409999999,0.33689041200000003,0.0,0.58805668,0.235784955,0.6774503940000001,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1008,0.40545809,0.402220914,0.45326315,0.507893988,0.56811306,0.576616247,0.541275292,0.48149545,0.264008621,0.498558956,0.441102669,0.6306400839999999,0.373232481,0.436041409,0.7132783420000001,0.516514272,0.515242971,0.579514825,0.42473856,0.7,0.22221181899999998,0.622454741,0.334274065,0.425104229,0.25064923699999997,0.011450382,0.761133603,0.366473451,0.61025488,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1009,0.087719298,0.335324398,0.300380966,0.362173299,0.685435509,0.694899677,0.675583665,0.540146665,0.599137931,0.418498511,0.46436231899999997,0.41238195200000005,0.492173244,0.397232229,0.728803895,0.526717611,0.48730808299999995,0.41239892200000006,0.524015841,0.7,0.503098051,0.635812767,0.189333043,0.9075342470000001,0.25064923699999997,0.0,0.715587045,0.522044847,0.49211928899999996,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1012,0.31384015600000004,0.365407349,0.43945726700000004,0.41718591899999996,0.46131665,0.45808262,0.401434763,0.575684368,0.25,0.42540375700000005,0.422563984,0.43441762899999997,0.256754414,0.31811214,0.543656123,0.495607608,0.537776235,0.32884097,0.711483532,0.5,0.136694484,0.933738684,0.227508995,0.8304794520000001,0.231227952,0.0,0.236842105,0.36198785,0.657635681,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1015,0.34502924,0.6812719770000001,0.66877704,0.697540429,0.51733729,0.500918609,0.444638376,0.52367037,0.286637931,0.44922720899999996,0.444740646,0.554039874,0.416606115,0.479915976,0.71888107,0.45722900899999996,0.510847823,0.6509433960000001,0.449788057,0.4,0.230988634,0.6803959820000001,0.378666085,0.660958904,0.161973219,0.0,0.7176113359999999,0.397419179,0.516442983,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1016,0.341130604,0.545532118,0.5115476379999999,0.601312895,0.612773465,0.620133296,0.588186455,0.5808156170000001,0.265086207,0.346879195,0.41114498200000005,0.521511018,0.342034148,0.356899817,0.5534843779999999,0.560038986,0.551759404,0.486522911,0.511889135,0.7,0.109303098,0.650611329,0.28124038100000004,0.7652792409999999,0.066208191,0.003816794,0.777327935,0.306013459,0.535148249,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1019,0.30019493199999997,0.5639483679999999,0.5347854999999999,0.564728884,0.503095825,0.497022452,0.45882351200000004,0.558779373,0.315732759,0.442474445,0.418783284,0.538300105,0.32444364800000003,0.41086063799999994,0.65900934,0.47397626200000004,0.542397707,0.452830189,0.61696351,0.5,0.291340036,0.895802421,0.290825569,0.8304794520000001,0.21018642199999998,0.0,0.332995951,0.40422396299999996,0.584498228,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
