opeid,agemedian,cdr2014_log,cdr2015_log,cdr2016_log,cohort2014_log,cohort2015_log,cohort2016_log,density_log,educationcollegeorabove,familysize_log,female_sqrt,homeownership,homevalue_log,incomehouseholdmedian_log,incomehouseholdsixfigure_log,laborforceparticipation_sqrt,male_reciprocal,married,population_log,proglength,raceasian_log,raceblack_log,racemultiple_log,racenative_reciprocal,raceother_log,racepacific,racewhite,rentmedian_log,unemploymentrate_log
1003,0.300194932,0.571828476,0.559078971,0.617686718,0.608946314,0.615879621,0.582014528,0.558779373,0.315732759,0.442474445,0.418783284,0.538300105,0.324443648,0.410860638,0.65900934,0.473976262,0.542397707,0.452830189,0.61696351,0.7,0.291340036,0.895802421,0.290825569,0.830479452,0.210186422,0,0.332995951,0.404223963,0.584498228
1004,0.161793372,0.476092568,0.501078014,0.502243095,0.557465571,0.562742502,0.5255745,0.458709598,0.259698276,0.495339978,0.371265727,0.544596013,0.400730989,0.357673018,0.573704861,0.525450896,0.601081097,0.393530997,0.293568923,0.7,0.09429415,0.692531177,0.250284668,1,0.373886117,0.007633588,0.710526316,0.292466399,0.659911237
1005,0.300194932,0.653403284,0.670746863,0.725911638,0.650509424,0.650174467,0.611713987,0.558779373,0.315732759,0.442474445,0.418783284,0.538300105,0.324443648,0.410860638,0.65900934,0.473976262,0.542397707,0.452830189,0.61696351,0.7,0.291340036,0.895802421,0.290825569,0.830479452,0.210186422,0,0.332995951,0.404223963,0.584498228
1007,0.385964912,0.723561165,0.684975983,0.717981143,0.543909335,0.537148194,0.479876162,0.409677271,0.140086207,0.368872629,0.391574988,0.554039874,0.295166588,0.303342528,0.531265952,0.607761236,0.575880626,0.555256065,0.322707622,0.4,0.161196914,0.7856757,0.160553834,0.765279241,0.336890412,0,0.58805668,0.235784955,0.677450394
1008,0.40545809,0.402220914,0.45326315,0.507893988,0.56811306,0.576616247,0.541275292,0.48149545,0.264008621,0.498558956,0.441102669,0.630640084,0.373232481,0.436041409,0.713278342,0.516514272,0.515242971,0.579514825,0.42473856,0.7,0.222211819,0.622454741,0.334274065,0.425104229,0.250649237,0.011450382,0.761133603,0.366473451,0.61025488
1009,0.087719298,0.335324398,0.300380966,0.362173299,0.685435509,0.694899677,0.675583665,0.540146665,0.599137931,0.418498511,0.464362319,0.412381952,0.492173244,0.397232229,0.728803895,0.526717611,0.487308083,0.412398922,0.524015841,0.7,0.503098051,0.635812767,0.189333043,0.907534247,0.250649237,0,0.715587045,0.522044847,0.492119289
1012,0.313840156,0.365407349,0.439457267,0.417185919,0.46131665,0.45808262,0.401434763,0.575684368,0.25,0.425403757,0.422563984,0.434417629,0.256754414,0.31811214,0.543656123,0.495607608,0.537776235,0.32884097,0.711483532,0.5,0.136694484,0.933738684,0.227508995,0.830479452,0.231227952,0,0.236842105,0.36198785,0.657635681
1015,0.34502924,0.681271977,0.66877704,0.697540429,0.51733729,0.500918609,0.444638376,0.52367037,0.286637931,0.449227209,0.444740646,0.554039874,0.416606115,0.479915976,0.71888107,0.457229009,0.510847823,0.650943396,0.449788057,0.4,0.230988634,0.680395982,0.378666085,0.660958904,0.161973219,0,0.717611336,0.397419179,0.516442983
1016,0.341130604,0.545532118,0.511547638,0.601312895,0.612773465,0.620133296,0.588186455,0.580815617,0.265086207,0.346879195,0.411144982,0.521511018,0.342034148,0.356899817,0.553484378,0.560038986,0.551759404,0.486522911,0.511889135,0.7,0.109303098,0.650611329,0.281240381,0.765279241,0.066208191,0.003816794,0.777327935,0.306013459,0.535148249
1019,0.300194932,0.563948368,0.5347855,0.564728884,0.503095825,0.497022452,0.458823512,0.558779373,0.315732759,0.442474445,0.418783284,0.538300105,0.324443648,0.410860638,0.65900934,0.473976262,0.542397707,0.452830189,0.61696351,0.5,0.291340036,0.895802421,0.290825569,0.830479452,0.210186422,0,0.332995951,0.404223963,0.584498228
1020,0.138401559,0.543777623,0.552411397,0.564728884,0.649607577,0.659094048,0.625078984,0.549441127,0.326508621,0.428839746,0.426319728,0.469045121,0.379709942,0.375883818,0.621088516,0.545432821,0.533193681,0.35309973,0.350427315,0.7,0.203597248,0.697024336,0.36465533,0.907534247,0.102319999,0,0.713562753,0.371886525,0.707524337
1022,0.313840156,0.585328423,0.571828476,0.639505904,0.615388559,0.62127183,0.581249013,0.575684368,0.25,0.425403757,0.422563984,0.434417629,0.256754414,0.31811214,0.543656123,0.495607608,0.537776235,0.32884097,0.711483532,0.4,0.136694484,0.933738684,0.227508995,0.830479452,0.231227952,0,0.236842105,0.36198785,0.657635681
1029,0.333333333,0.458548267,0.442289713,0.560292749,0.530522427,0.53641584,0.50364512,0.569213256,0.275862069,0.475820116,0.430051004,0.535152151,0.330458876,0.375951915,0.633554973,0.534267086,0.528649554,0.452830189,0.636221881,0.7,0.230988634,0.858488373,0.281240381,0.907534247,0.133905189,0,0.447368421,0.39604382,0.584498228
1031,0.440545809,0.65233852,0.602111963,0.610548547,0.503297247,0.489675213,0.436663635,0.368313992,0.073275862,0.418498511,0.422563984,0.67366212,0.326964817,0.35658464,0.547639081,0.604374698,0.537776235,0.641509434,0.269174689,0.4,0,0.102418708,0.416842038,0.765279241,0.368084662,0,0.922064777,0.285206526,0.552630047
1033,0.337231969,0.596660629,0.582400283,0.577560458,0.535455724,0.542378785,0.506602813,0.521687334,0.421336207,0.372494661,0.441102669,0.558237146,0.413254339,0.464663529,0.73660923,0.46146037,0.515242971,0.544474394,0.633861286,0.7,0.297891398,0.753853896,0.342192007,0.765279241,0.210186422,0.003816794,0.618421053,0.410911753,0.565836498
1036,0.313840156,0.245151152,0.230700527,0.322995532,0.570934223,0.575697413,0.532939059,0.575684368,0.25,0.425403757,0.422563984,0.434417629,0.256754414,0.31811214,0.543656123,0.495607608,0.537776235,0.32884097,0.711483532,0.7,0.136694484,0.933738684,0.227508995,0.830479452,0.231227952,0,0.236842105,0.36198785,0.657635681
1038,0.335282651,0.744770978,0.712527847,0.728129657,0.494388922,0.504642895,0.472489606,0.485199438,0.172413793,0.462606251,0.491827009,0.628541448,0.312232614,0.388222777,0.561049166,0.546662065,0.454874067,0.598382749,0.326742913,0.4,0.078249306,0.246544356,0.239134147,1,0.066208191,0,0.956477733,0.371397528,0.524082825
1041,0.333333333,0.45057145,0.427742032,0.458400834,0.496597764,0.499107495,0.456774318,0.569213256,0.275862069,0.475820116,0.430051004,0.535152151,0.330458876,0.375951915,0.633554973,0.534267086,0.528649554,0.452830189,0.636221881,0.7,0.230988634,0.858488373,0.281240381,0.907534247,0.133905189,0,0.447368421,0.39604382,0.584498228
1044,0.175438596,0.684975983,0.687713018,0.755222568,0.507991095,0.507176284,0.457804438,0.58970506,0.36637931,0.459277137,0.431907614,0.445960126,0.41683554,0.395854165,0.649170341,0.561242211,0.526391751,0.382749326,0.572111656,0.5,0.291340036,0.830477925,0.202660068,0.830479452,0.161973219,0.003816794,0.504048583,0.45436426,0.593362341
1046,0.385964912,0.731111722,0.75761999,0.759129262,0.519519046,0.466231998,0.449232755,0.474216637,0.103448276,0.365238298,0.459074017,0.533053515,0.247280724,0.274997729,0.491929875,0.673526576,0.493623835,0.363881402,0.354977166,0.5,0.183362057,0.84851262,0.202660068,0.709393346,0.241125384,0,0.470647773,0.248070089,0.78586214
1047,0.1208577,0.545532118,0.527313067,0.564728884,0.742861996,0.749263555,0.717138097,0.487008246,0.330818966,0.462606251,0.411144982,0.454354669,0.364628674,0.283845249,0.595472051,0.504839157,0.551759404,0.355795148,0.375720987,0.7,0.354896584,0.816542829,0.326119733,0.660958904,0.02405173,0,0.51417004,0.325763737,0.607512535
1051,0.175438596,0.412146881,0.395341635,0.429154487,0.71804465,0.731927699,0.715280709,0.58970506,0.36637931,0.459277137,0.431907614,0.445960126,0.41683554,0.395854165,0.649170341,0.561242211,0.526391751,0.382749326,0.572111656,0.7,0.291340036,0.830477925,0.202660068,0.830479452,0.161973219,0.003816794,0.504048583,0.45436426,0.593362341
1052,0.313840156,0.412146881,0.418520254,0.451420145,0.697034025,0.705468449,0.686920057,0.575684368,0.25,0.425403757,0.422563984,0.434417629,0.256754414,0.31811214,0.543656123,0.495607608,0.537776235,0.32884097,0.711483532,0.7,0.136694484,0.933738684,0.227508995,0.830479452,0.231227952,0,0.236842105,0.36198785,0.657635681
1055,0.337231969,0.402220914,0.461143257,0.458400834,0.611241507,0.617019949,0.587141467,0.521687334,0.421336207,0.372494661,0.441102669,0.558237146,0.413254339,0.464663529,0.73660923,0.46146037,0.515242971,0.544474394,0.633861286,0.7,0.297891398,0.753853896,0.342192007,0.765279241,0.210186422,0.003816794,0.618421053,0.410911753,0.565836498
1057,0.333333333,0.478486836,0.485514881,0.531779344,0.688402052,0.699393975,0.679787547,0.569213256,0.275862069,0.475820116,0.430051004,0.535152151,0.330458876,0.375951915,0.633554973,0.534267086,0.528649554,0.452830189,0.636221881,0.7,0.230988634,0.858488373,0.281240381,0.907534247,0.133905189,0,0.447368421,0.39604382,0.584498228
1060,0.255360624,0.660713632,0.64362663,0.695015658,0.602641122,0.608318155,0.569513296,0.459280092,0.140086207,0.684013316,0.498510459,0.466946485,0.339479315,0.292349117,0.571939901,0.644034361,0.447079846,0.42722372,0.315821623,0.4,0.078249306,0.817056164,0.239134147,0.709393346,0.231227952,0,0.543522267,0.320222377,0.479073957
1071,0.231968811,0.627483492,0.681271977,0.702510795,0.498323705,0.495841454,0.432410395,0.505248486,0.160560345,0.452587681,0.488458901,0.579223505,0.341909234,0.424503892,0.630843721,0.475350911,0.458817026,0.656334232,0.562794222,0.4,0.247606987,0.322857129,0.42846719,0.491438356,0.758490519,0,0.703441296,0.432826816,0.643559996
1072,0.286549708,0.424711506,0.45326315,0.487497589,0.465215696,0.479633608,0.414413221,0.384511457,0.30387931,0.357932403,0.441102669,0.529905561,0.428749189,0.507236223,0.71888107,0.488929186,0.515242971,0.710242588,0.475126546,0.4,0.374287643,0.447615051,0.553988373,0.425104229,0.349834386,0.030534351,0.773279352,0.466430164,0.562595534
1076,0.278752437,0.663772682,0.651268497,0.675171823,0.681221153,0.67193338,0.640348605,0.699071921,0.203663793,0.570043041,0.45373912,0.519412382,0.42794504,0.447559758,0.688304709,0.464264506,0.500016922,0.533692722,0.613722001,0.4,0.387838543,0.430172908,0.450330843,0.374077977,0.464466688,0.007633588,0.779352227,0.491295846,0.531510421
1077,0.317738791,0.686804509,0.649112469,0.681972469,0.711661001,0.703498563,0.673171133,0.682416177,0.254310345,0.498558956,0.460841902,0.582371459,0.431133736,0.466162409,0.692491457,0.452966873,0.491510061,0.595687332,0.675630589,0.4,0.255491064,0.337230061,0.385410869,0.29109589,0.439210411,0.015267176,0.836032389,0.46948413,0.52029019
