proprietary,opeid,agemedian,cdr2014_log,cdr2015_log,cdr2016_log,cohort2014_log,cohort2015_log,cohort2016_log,density_log,educationcollegeorabove,familysize_log,female_sqrt,homeownership,homevalue_log,incomehouseholdmedian_log,incomehouseholdsixfigure_log,laborforceparticipation_sqrt,male_reciprocal,married,population_log,proglength,raceasian_log,raceblack_log,racemultiple_log,racenative_reciprocal,raceother_log,racepacific,racewhite,rentmedian_log,unemploymentrate_log,associates,bachelors,firstprofessional,gradprofessional,mastersordoctors,nondegree,nondegree1year,nondegree2years,nondegree3years,private,public,hbcuCollege,hispanicCollege,nativeAmericanCollege,notReportedCollege
0,5619,0.354775828,0.70260188,0.6576107760000001,0.738919074,0.477585294,0.495124844,0.474013565,0.498534896,0.288793103,0.43908202,0.407286319,0.507869885,0.350089151,0.406001716,0.5203927620000001,0.570793517,0.556500651,0.5336927220000001,0.17940869,0.4,0.0,0.468891495,0.227508995,1.0,0.066208191,0.0,0.906882591,0.325763737,0.524082825,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,9232,0.282651072,0.245151152,0.238046284,0.297313602,0.323204179,0.328625192,0.243741218,0.8225082109999999,0.376077586,0.548787971,0.444740646,0.418677859,0.49043919,0.468388703,0.738307587,0.406943013,0.510847823,0.425876011,0.928952332,0.7,0.4590883120000001,0.7517883790000001,0.34988687700000004,0.7652792409999999,0.6312427829999999,0.0,0.484817814,0.616543646,0.638698475,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,41414,0.134502924,0.626283051,0.650193165,0.7121497370000001,0.498961843,0.511632185,0.459076582,0.6831702140000001,0.502155172,0.361591584,0.4951774370000001,0.352570829,0.7049699620000001,0.449327832,0.73575522,0.486237513,0.450961793,0.35714285700000004,0.492000944,0.5,0.438853121,0.25346273,0.416842038,0.660958904,0.37955719,0.0,0.8451417,0.6242825670000001,0.45580918,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,3031,0.315789474,0.31605134,0.344353999,0.16450205699999998,0.376608872,0.390532569,0.326323879,0.719965505,0.149784483,0.442474445,0.433758284,0.3892969570000001,0.193855215,0.25250968,0.489387122,0.512646179,0.524143375,0.291105121,0.786197259,0.7,0.263116599,0.8584883729999999,0.439617711,0.660958904,0.36214669,0.0,0.390688259,0.333391372,0.757534005,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,3032,0.315789474,0.468746811,0.478486836,0.510669766,0.7099519470000001,0.71514429,0.691758713,0.719965505,0.149784483,0.442474445,0.433758284,0.3892969570000001,0.193855215,0.25250968,0.489387122,0.512646179,0.524143375,0.291105121,0.786197259,0.7,0.263116599,0.8584883729999999,0.439617711,0.660958904,0.36214669,0.0,0.390688259,0.333391372,0.757534005,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,3216,0.33528265100000004,0.433678816,0.439457267,0.484435272,0.744891548,0.7492280640000001,0.7357425959999999,0.717440572,0.492456897,0.397511379,0.462604654,0.511017838,0.587145725,0.5224798829999999,0.7638705029999999,0.351419974,0.489404828,0.509433962,0.8013271240000001,0.7,0.505755885,0.414489129,0.511282468,0.547945205,0.301288922,0.022900763,0.771255061,0.634367303,0.542278705,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,1601,0.124756335,0.496744288,0.490076714,0.551163689,0.675232088,0.685375229,0.6700666999999999,0.554329714,0.292025862,0.485624546,0.401447372,0.328436516,0.360954445,0.345039521,0.597062384,0.487584819,0.5636894889999999,0.388140162,0.467171853,0.7,0.222211819,0.743324773,0.378666085,0.618578767,0.447913072,0.007633588,0.599190283,0.474771548,0.668824605,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,1707,0.265107212,0.373287456,0.365407349,0.372273815,0.623684395,0.629427454,0.60428081,0.61871433,0.24137931,0.6676723960000001,0.442924465,0.828961175,0.415048202,0.5808467820000001,0.76761487,0.34445979600000004,0.513040856,0.648247978,0.451810578,0.7,0.471662076,0.53597014,0.455533854,0.8304794520000001,0.7670872870000001,0.0,0.576923077,0.620690222,0.445905223,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,1699,0.270955166,0.627483492,0.540225427,0.595593912,0.588827321,0.584047213,0.555114734,0.630962759,0.212284483,0.599693398,0.451950251,0.692549843,0.406990894,0.532446338,0.755406791,0.353144313,0.502165383,0.5876010779999999,0.568751597,0.4,0.263116599,0.634631678,0.36465533,0.7652792409999999,0.645321854,0.0,0.648785425,0.592357873,0.5690386470000001,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,6871,0.315789474,0.621413654,0.586777786,0.6667451520000001,0.633966117,0.639855178,0.618418849,0.6454419929999999,0.248922414,0.4356788070000001,0.441102669,0.547743966,0.435709798,0.465286136,0.67413341,0.425212434,0.515242971,0.495956873,0.560117628,0.4,0.284598752,0.8572127959999999,0.404700046,0.7093933459999999,0.259826691,0.003816794,0.410931174,0.54930341,0.581476995,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
