City,State,County,CityLatitude,CityLongitude,zips
South Creek,Washington,Pierce,46.9994,-122.3921,98580 98387 98338
Roslyn,Washington,Kittitas,47.2507,-121.0989,98941 98068 98925
Sprague,Washington,Lincoln,47.3048,-117.9713,99032
Gig Harbor,Washington,Pierce,47.3352,-122.5968,98332 98335
Lake Cassidy,Washington,Snohomish,48.0639,-122.09200000000001,98223 98258 98270
Tenino,Washington,Thurston,46.8537,-122.8607,98589
Jamestown,Washington,Clallam,48.1229,-123.0911,98382
Three Lakes,Washington,Snohomish,47.942,-121.9924,98290
Curlew Lake,Washington,Ferry,48.7311,-118.6663,99166
Chain Lake,Washington,Snohomish,47.9038,-121.9861,98290
Pateros,Washington,Okanogan,48.0536,-119.8994,98846
Rosburg,Washington,Wahkiakum,46.3076,-123.6344,98643
Parkland,Washington,Pierce,47.1417,-122.4376,98444 98445 98447 98448
Birch Bay,Washington,Whatcom,48.923,-122.7543,98230
Ashford,Washington,Pierce,46.7537,-122.0113,98304
Navy Yard City,Washington,Kitsap,47.5508,-122.6655,98312
Omak,Washington,Okanogan,48.4228,-119.5159,98841
Farmington,Washington,Whitman,47.0887,-117.0464,99128
Buckley,Washington,Pierce,47.1615,-122.02,98321
Cathcart,Washington,Snohomish,47.8525,-122.1058,98296
Poulsbo,Washington,Kitsap,47.7417,-122.6408,98370
Anacortes,Washington,Skagit,48.4878,-122.6292,98221
Maplewood,Washington,Pierce,47.3715,-122.5689,98332
Creston,Washington,Lincoln,47.7595,-118.52,99117
Rockford,Washington,Spokane,47.4513,-117.1307,99030
Wishram,Washington,Klickitat,45.6599,-120.9698,98673
Centralia,Washington,Lewis,46.7225,-122.9695,98531
South Hill,Washington,Pierce,47.1203,-122.2848,98375 98374 98373
Longview Heights,Washington,Cowlitz,46.1796,-122.9577,98632
Erlands Point-Kitsap Lake,Washington,Kitsap,47.5973,-122.7021,98312
Amboy,Washington,Clark,45.9122,-122.4795,98601 98675
St. John,Washington,Whitman,47.0915,-117.5887,99171
Dallesport,Washington,Klickitat,45.6316,-121.1749,98617 98635
Ketron Island,Washington,Pierce,47.1569,-122.6343,98388
Mesa,Washington,Franklin,46.5737,-119.0013,99326 99343
Fife,Washington,Pierce,47.2328,-122.3518,98424
Moses Lake North,Washington,Grant,47.1949,-119.3186,98837
Chewelah,Washington,Stevens,48.2929,-117.7336,99109
Grayland,Washington,Grays Harbor,46.8304,-124.0898,98547
Kittitas,Washington,Kittitas,46.9837,-120.4191,98934 98926
Camano,Washington,Island,48.1865,-122.4708,98282
Monroe North,Washington,Snohomish,47.883,-121.9882,98290 98272
North Bonneville,Washington,Skamania,45.6425,-121.9689,98648 98639
Klickitat,Washington,Klickitat,45.818000000000005,-121.1626,98628
Loon Lake,Washington,Stevens,48.0685,-117.6298,99148
Newport,Washington,Pend Oreille,48.1788,-117.0545,99156
Mead,Washington,Spokane,47.7795,-117.35,99021
Cashmere,Washington,Chelan,47.5175,-120.4671,98815
Aberdeen Gardens,Washington,Grays Harbor,47.0587,-123.7791,98520
Ocean Shores,Washington,Grays Harbor,46.9685,-124.1521,98569
Basin City,Washington,Franklin,46.5891,-119.1567,99343
Wilkeson,Washington,Pierce,47.1034,-122.0495,98396
Meadow Glade,Washington,Clark,45.7524,-122.5614,98604
Arlington Heights,Washington,Snohomish,48.2119,-122.06299999999999,98223
Uniontown,Washington,Whitman,46.5391,-117.0861,99179
Oakesdale,Washington,Whitman,47.1305,-117.2465,99158
West Side Highway,Washington,Cowlitz,46.1841,-122.9178,98626 98632
Conconully,Washington,Okanogan,48.5571,-119.7513,98819
Latah,Washington,Spokane,47.2822,-117.1557,99018
Elma,Washington,Grays Harbor,47.0055,-123.4112,98541
Tieton,Washington,Yakima,46.7026,-120.756,98947
Southworth,Washington,Kitsap,47.5126,-122.5298,98366 98384 98386
Danville,Washington,Ferry,48.9938,-118.5068,99121
Toppenish,Washington,Yakima,46.3807,-120.3125,98948
River Road,Washington,Clallam,48.0677,-123.1276,98382
Geneva,Washington,Whatcom,48.7461,-122.4064,98229
Yakima,Washington,Yakima,46.5923,-120.5496,98901 98903 98902 98908 98904 98907
Moxee,Washington,Yakima,46.5638,-120.3968,98936 98901
Edmonds,Washington,Snohomish,47.8114,-122.3533,98026 98020
Kalama,Washington,Cowlitz,46.0171,-122.8393,98625
Laurier,Washington,Ferry,48.9974,-118.2248,99146
Vashon,Washington,King,47.4122,-122.4726,98070 98013
Country Homes,Washington,Spokane,47.7478,-117.4197,99208 99218 99251
Darrington,Washington,Snohomish,48.2546,-121.6029,98241
Metaline Falls,Washington,Pend Oreille,48.8616,-117.3706,99153
Lyle,Washington,Klickitat,45.6956,-121.2805,98635
Cascade Valley,Washington,Grant,47.1371,-119.3272,98837
Spangle,Washington,Spokane,47.4299,-117.3812,99031
Methow,Washington,Okanogan,48.1289,-120.0056,98834
Waterville,Washington,Douglas,47.648,-120.0707,98858
Lake Roesiger,Washington,Snohomish,47.9839,-121.9129,98290
Milton,Washington,Pierce,47.2522,-122.3154,98003 98354
Krupp,Washington,Grant,47.4105,-118.9886,98832
Alderton,Washington,Pierce,47.1718,-122.2192,98390 98372 98374
DuPont,Washington,Pierce,47.1079,-122.6496,98327
Edgewood,Washington,Pierce,47.2309,-122.2832,98372 98371
North Puyallup,Washington,Pierce,47.2015,-122.2742,98372
Pacific Beach,Washington,Grays Harbor,47.215,-124.1967,98571
Manson,Washington,Chelan,47.8858,-120.1563,98831
Brewster,Washington,Okanogan,48.1034,-119.7751,98812
Battle Ground,Washington,Clark,45.7764,-122.5413,98604
Shoreline,Washington,King,47.7564,-122.3426,98155 98177 98133 98160
Cosmopolis,Washington,Grays Harbor,46.9541,-123.7725,98520 98563 98537
Airway Heights,Washington,Spokane,47.6459,-117.5792,99224 99001
Grandview,Washington,Yakima,46.2431,-119.9084,98935 98930
Inchelium,Washington,Ferry,48.3378,-118.2372,99138
Grand Coulee,Washington,Grant,47.9391,-119.0031,99133
Union,Washington,Mason,47.3475,-123.0952,98592
Torboy,Washington,Ferry,48.6772,-118.6689,99166
Kelso,Washington,Cowlitz,46.1248,-122.8909,98626 98632
Westport,Washington,Grays Harbor,46.8919,-124.11200000000001,98595
Junction City,Washington,Grays Harbor,46.9713,-123.7651,98520
Lake Ketchum,Washington,Snohomish,48.282,-122.348,98292
West Pasco,Washington,Franklin,46.2497,-119.1684,99301
Des Moines,Washington,King,47.3914,-122.3154,98148 98198
Davenport,Washington,Lincoln,47.6551,-118.1519,99122
Seattle,Washington,King,47.6211,-122.3244,98109 98108 98104 98107 98106 98101 98103 98102 98105 98154 98122 98121 98126 98125 98178 98174 98177 98144 98146 98195 98199 98118 98119 98116 98117 98115 98112 98164 98134 98136 98133 98111 98113 98114 98124 98127 98129 98139 98141 98145 98161 98165 98170 98175 98181 98185 98191 98194
Lake Stickney,Washington,Snohomish,47.8709,-122.2596,98087 98204
Carnation,Washington,King,47.6446,-121.9048,98014
Everett,Washington,Snohomish,47.9524,-122.167,98207 98204 98205 98203 98201 98208 98275 98206 98213
Warden,Washington,Grant,46.9674,-119.0522,98857
Palouse,Washington,Whitman,46.9103,-117.0751,99161
Terrace Heights,Washington,Yakima,46.6024,-120.4482,98901
Clarkston,Washington,Asotin,46.4152,-117.0502,99403
Elmer City,Washington,Okanogan,48.0,-118.9534,99124 99116
Mossyrock,Washington,Lewis,46.5305,-122.4887,98564
Summit View,Washington,Pierce,47.1343,-122.3468,98375 98373
Suquamish,Washington,Kitsap,47.7238,-122.583,98392 98370
Newcastle,Washington,King,47.5303,-122.1633,98059 98056
Stanwood,Washington,Snohomish,48.2451,-122.3426,98292
Kapowsin,Washington,Pierce,46.9727,-122.2272,98360 98338 98344
Donald,Washington,Yakima,46.4737,-120.3923,98951
Altoona,Washington,Wahkiakum,46.2699,-123.6145,98643
South Prairie,Washington,Pierce,47.1373,-122.094,98385
Eschbach,Washington,Yakima,46.667,-120.6337,98908
Indianola,Washington,Kitsap,47.7566,-122.5142,98342 98346 98370
Reardan,Washington,Lincoln,47.6698,-117.8778,99029
Cowiche,Washington,Yakima,46.6729,-120.7154,98923
Sunday Lake,Washington,Snohomish,48.2306,-122.2684,98292
Rocky Point,Washington,Kitsap,47.5882,-122.6668,98312
Burbank,Washington,Walla Walla,46.1991,-118.9728,99323
Lakeland North,Washington,King,47.3374,-122.2814,98001
Granite Falls,Washington,Snohomish,48.0874,-121.9704,98252
Camas,Washington,Clark,45.6003,-122.4306,98607
Skokomish,Washington,Mason,47.3298,-123.1579,98584
Cusick,Washington,Pend Oreille,48.3328,-117.2961,99119
Rosalia,Washington,Whitman,47.2363,-117.3769,99170
Longbranch,Washington,Pierce,47.2257,-122.7739,98349 98351
Granger,Washington,Yakima,46.3455,-120.1926,98932
North Fort Lewis,Washington,Pierce,47.1221,-122.5966,98433
Tampico,Washington,Yakima,46.5325,-120.8727,98903
Tukwila,Washington,King,47.4748,-122.2727,98108 98178 98168 98188 98138 98190
Cathlamet,Washington,Wahkiakum,46.2056,-123.3835,98612
Wenatchee,Washington,Chelan,47.4338,-120.3286,98801
Port Ludlow,Washington,Jefferson,47.9101,-122.7006,98365
Castle Rock,Washington,Cowlitz,46.2717,-122.9057,98611
Glacier,Washington,Whatcom,48.8903,-121.9323,98244
Index,Washington,Snohomish,47.8212,-121.5556,98256
Republic,Washington,Ferry,48.6477,-118.7326,99166
Bellevue,Washington,King,47.5953,-122.155,98004 98005 98006 98007 98008 98009 98015
Malo,Washington,Ferry,48.7997,-118.6119,99150
Anderson Island,Washington,Pierce,47.1577,-122.7037,98303
University Place,Washington,Pierce,47.2148,-122.546,98466 98467 98464
Montesano,Washington,Grays Harbor,47.0102,-123.5858,98563
Rainier,Washington,Thurston,46.8917,-122.6867,98576
Fords Prairie,Washington,Lewis,46.7461,-123.0029,98531
Roy,Washington,Pierce,46.9971,-122.5423,98580
Oso,Washington,Snohomish,48.2836,-121.9237,98223
Marblemount,Washington,Skagit,48.5378,-121.4346,98267
Elk Plain,Washington,Pierce,47.0448,-122.3671,98387 98338
Burlington,Washington,Skagit,48.4677,-122.3298,98233
Bangor Base,Washington,Kitsap,47.7227,-122.7146,98315
Beaux Arts Village,Washington,King,47.5854,-122.2009,98004
Port Gamble Tribal Community,Washington,Kitsap,47.8487,-122.5571,98346
Olympia,Washington,Thurston,47.0417,-122.8959,98501 98502 98506 98504 98507 98508 98511
East Wenatchee,Washington,Douglas,47.4172,-120.2809,98802
Addy,Washington,Stevens,48.3588,-117.8372,99101
Minnehaha,Washington,Clark,45.6577,-122.6204,98661
Bryn Mawr-Skyway,Washington,King,47.4949,-122.2411,98178
Satsop,Washington,Grays Harbor,47.0223,-123.4737,98583 98541
Riverbend,Washington,King,47.4651,-121.7491,98045
Easton,Washington,Kittitas,47.2405,-121.1733,98925
Silverdale,Washington,Kitsap,47.6663,-122.6828,98311 98370 98383
Napavine,Washington,Lewis,46.5844,-122.9007,98565 98532
Lochsloy,Washington,Snohomish,48.0597,-122.0411,98258
Ellensburg,Washington,Kittitas,46.9994,-120.54700000000001,98926
McKenna,Washington,Pierce,46.9365,-122.55,98580 98558
Fairfield,Washington,Spokane,47.3848,-117.1748,99012
Northwest Stanwood,Washington,Snohomish,48.2623,-122.3501,98292
