State,County,City
Alabama,St. Clair,Moody
Alabama,DeKalb,Lakeview
Alabama,Mobile,Chickasaw
Alabama,Jefferson,Morris
Alabama,Talladega,Bon Air
Alabama,Dale,Level Plains
Alabama,Cherokee,Sand Rock
Alabama,Jackson,Pisgah
Alabama,Covington,Babbie
Alabama,Sumter,York
Alabama,Shelby,Vincent
Alabama,Lauderdale,Waterloo
Alabama,Tallapoosa,Reeltown
Alabama,Pickens,Ethelsville
Alabama,Greene,Forkland
Alabama,Houston,Rehobeth
Alabama,Madison,New Hope
Alabama,Shelby,Wilsonville
Alabama,Chambers,Fredonia
Alabama,Marengo,Sweet Water
Alabama,DeKalb,Fort Payne
Alabama,Jefferson,Brookside
Alabama,Winston,Arley
Alabama,Barbour,Bakerhill
Alabama,Wilcox,Oak Hill
Alabama,Cherokee,Cedar Bluff
Alabama,Cherokee,Gaylesville
Alabama,Geneva,Coffee Springs
Alabama,Mobile,Mount Vernon
Alabama,Choctaw,Pennington
Alabama,Crenshaw,Rutledge
Alabama,Escambia,Brewton
Alabama,Pike,Goshen
Alabama,Jefferson,Pinson
Alabama,Baldwin,Bon Secour
Alabama,Pickens,Pickensville
Alabama,Chambers,Five Points
Alabama,Jefferson,Homewood
Alabama,Etowah,Hokes Bluff
Alabama,Blount,Susan Moore
Alabama,Macon,Tuskegee
Alabama,Houston,Avon
Alabama,DeKalb,Mentone
Alabama,Pickens,Reform
Alabama,Washington,St. Stephens
Alabama,Autauga,Pine Level
Alabama,Blount,Oneonta
Alabama,Cullman,Holly Pond
Alabama,Tallapoosa,Dadeville
Alabama,Morgan,Trinity
Alabama,Monroe,Beatrice
Alabama,Etowah,New Union
Alabama,Baldwin,Perdido
Alabama,Mobile,Prichard
Alabama,Shelby,Alabaster
Alabama,Pike,Brundidge
Alabama,Barbour,Clio
Alabama,Barbour,Eufaula
Alabama,Elmore,Emerald Mountain
Alabama,Coosa,Ray
Alabama,Cherokee,Centre
Alabama,Jefferson,Mount Olive
Alabama,Randolph,Rock Mills
Alabama,Blount,Blountsville
Alabama,Chambers,Abanda
Alabama,Mobile,Movico
Alabama,Jefferson,Graysville
Alabama,Shelby,Indian Springs Village
Alabama,Sumter,Cuba
Alabama,Choctaw,Silas
Alabama,Baldwin,Summerdale
Alabama,Madison,Huntsville
Alabama,Elmore,Deatsville
Alabama,Fayette,Fayette
Alabama,Jefferson,Cardiff
Alabama,DeKalb,Sylvania
Alabama,Clarke,Carlton
Alabama,Walker,Sipsey
Alabama,Randolph,Wadley
Alabama,Madison,Redstone Arsenal
Alabama,Lamar,Sulligent
Alabama,Shelby,Sterrett
Alabama,Morgan,Hartselle
Alabama,Bullock,Fitzpatrick
Alabama,Clay,Delta
Alabama,Etowah,Ivalee
Alabama,Dale,Midland City
Alabama,Talladega,Munford
Alabama,St. Clair,Ragland
Alabama,Shelby,Chelsea
Alabama,Jefferson,Mulga
Alabama,Lamar,Beaverton
Alabama,Washington,Chatom
Alabama,Tallapoosa,New Site
Alabama,Etowah,Egypt
Alabama,Russell,Ladonia
Alabama,Tallapoosa,Jacksons' Gap
Alabama,Marengo,Putnam
Alabama,Lauderdale,Rogersville
Alabama,Morgan,Falkville
Alabama,Blount,Locust Fork
Alabama,Choctaw,Gilbertown
Alabama,Bibb,Brent
Alabama,Marengo,Providence
Alabama,Baldwin,Foley
Alabama,Macon,Notasulga
Alabama,Washington,Fruitdale
