opeid,stateabv,state,county,city,name,address,zipcode,zipext,proglength,schooltype,year1,num1,denom1,drate1,prate1,ethniccode,congdis,region,averageorgreaterthan30,year2,num2,denom2,drate2,prate2,year3,num3,denom3,drate3,prate3,lat,lng,population,density,military,agemedian,male,female,married,familysize,incomehouseholdmedian,incomehouseholdsixfigure,homeownership,homevalue,rentmedian,educationcollegeorabove,laborforceparticipation,unemploymentrate,racewhite,raceblack,raceasian,racenative,racepacific,raceother,racemultiple
1003,AL,Alabama,Montgomery,Montgomery,FAULKNER UNIVERSITY                                              ,5345 ATLANTA HIGHWAY                              ,36109,3398,8,2,2016,172,1371,12.5,A,5,2,4,0,2015,180.0,1471.0,12.2,A,2014,192.0,1470.0,13.0,A,32.3473,-86.2666,255908.0,481.0,False,35.0,47.1,52.9,37.1,3.16,44339.0,17.7,56.0,116695.0,865.0,31.8,61.8,7.9,34.1,60.0,2.5,0.2,0.0,1.3,1.9
1004,AL,Alabama,Shelby,Montevallo,UNIVERSITY OF MONTEVALLO                                         ,PALMER CIRCLE                                     ,35115,6000,8,1,2016,56,757,7.3,A,5,6,4,0,2015,72.0,784.0,9.1,A,2014,64.0,793.0,8.0,A,33.1254,-86.8482,6636.0,204.0,False,27.9,44.7,55.3,32.7,3.32,37929.0,11.8,56.6,160842.0,649.0,26.6,57.9,10.8,71.4,23.0,0.5,0.0,0.2,3.4,1.5
1005,AL,Alabama,Montgomery,Montgomery,ALABAMA STATE UNIVERSITY                                         ,915 SOUTH JACKSON STREET                          ,36104,5714,8,1,2016,382,1874,20.3,P,2,3,4,0,2015,466.0,2208.0,21.1,P,2014,471.0,2419.0,19.4,P,32.3473,-86.2666,255908.0,481.0,False,35.0,47.1,52.9,37.1,3.16,44339.0,17.7,56.0,116695.0,865.0,31.8,61.8,7.9,34.1,60.0,2.5,0.2,0.0,1.3,1.9
1007,AL,Alabama,Tallapoosa,Alexander City,CENTRAL ALABAMA COMMUNITY COLLEGE                                ,1675 CHEROKEE ROAD                                ,35010,0,5,1,2016,92,468,19.6,P,5,3,4,0,2015,131.0,579.0,22.6,P,2014,184.0,674.0,27.2,P,32.9242,-85.9361,9222.0,134.0,False,39.4,45.7,54.3,44.7,2.95,32337.0,9.6,57.5,103175.0,561.0,15.5,51.0,11.6,59.3,35.8,1.0,0.3,0.0,2.8,0.8
1008,AL,Alabama,Limestone,Athens,ATHENS STATE UNIVERSITY                                          ,300 NORTH BEATY STREET                            ,35611,1999,8,1,2016,67,893,7.5,A,5,5,4,0,2015,66.0,924.0,7.1,A,2014,49.0,901.0,5.4,A,34.7847,-86.95100000000001,29192.0,248.0,False,40.4,48.3,51.7,46.5,3.33,47741.0,22.8,64.8,143275.0,785.0,27.0,58.6,8.8,76.4,16.4,1.6,1.3,0.3,1.7,2.4
1009,AL,Alabama,Lee,Auburn,AUBURN UNIVERSITY                                                ,107 SAMFORD HALL                                  ,36849,5113,8,1,2016,134,3670,3.6,P,5,3,4,0,2015,114.0,3750.0,3.0,P,2014,139.0,3676.0,3.7,P,32.6087,-85.4899,89577.0,410.0,False,24.1,49.6,50.4,34.1,3.09,42600.0,24.5,44.0,236281.0,1171.0,58.1,57.8,5.3,71.9,17.5,7.7,0.1,0.0,1.7,1.0
1012,AL,Alabama,Jefferson,Birmingham,BIRMINGHAM-SOUTHERN COLLEGE                                      ,900 ARKADELPHIA ROAD                              ,35254,2,6,2,2016,10,205,4.8,A,5,7,4,0,2015,15.0,227.0,6.6,A,2014,11.0,250.0,4.4,A,33.5277,-86.7987,744189.0,556.0,False,35.7,47.3,52.7,27.9,3.11,33770.0,10.2,46.1,87783.0,776.0,25.7,60.2,10.7,24.6,71.6,0.8,0.2,0.0,1.5,1.3
1015,AL,Alabama,Coffee,Enterprise,ENTERPRISE STATE COMMUNITY COLLEGE                               ,600 PLAZA DRIVE                                   ,36331,1300,5,1,2016,58,323,17.9,A,5,2,4,0,2015,79.0,377.0,20.9,A,2014,109.0,490.0,22.2,A,31.3276,-85.8459,38737.0,356.0,False,37.3,48.5,51.5,51.8,3.18,54304.0,23.4,57.5,171948.0,850.0,29.1,63.0,5.9,72.1,21.7,1.7,0.5,0.0,0.9,3.0
1016,AL,Alabama,Lauderdale,Florence,UNIVERSITY OF NORTH ALABAMA                                      ,ONE HARRISON PLAZA                                ,35632,1,8,1,2016,170,1463,11.6,A,5,5,4,0,2015,149.0,1547.0,9.6,A,2014,176.0,1539.0,11.4,A,34.8303,-87.6654,78112.0,581.0,False,37.1,46.7,53.3,39.6,2.89,37843.0,10.7,54.4,125656.0,672.0,27.1,55.1,6.4,78.0,18.8,0.6,0.3,0.1,0.3,1.8
1019,AL,Alabama,Montgomery,Montgomery,HUNTINGDON COLLEGE                                               ,1500 EAST FAIRVIEW AVENUE                         ,36106,2148,6,2,2016,37,375,9.8,A,5,2,4,0,2015,39.0,360.0,10.8,A,2014,52.0,413.0,12.5,A,32.3473,-86.2666,255908.0,481.0,False,35.0,47.1,52.9,37.1,3.16,44339.0,17.7,56.0,116695.0,865.0,31.8,61.8,7.9,34.1,60.0,2.5,0.2,0.0,1.3,1.9
1020,AL,Alabama,Calhoun,Jacksonville,JACKSONVILLE STATE UNIVERSITY                                    ,"700 PELHAM ROAD, NORTH                            ",36265,1602,8,1,2016,212,2157,9.8,A,5,3,4,0,2015,292.0,2454.0,11.8,A,2014,272.0,2393.0,11.3,A,33.8088,-85.7544,12612.0,444.0,False,26.7,47.5,52.5,29.7,3.12,40012.0,14.8,49.4,147232.0,796.0,32.8,56.3,13.1,71.7,23.5,1.4,0.1,0.0,0.5,2.8
1022,AL,Alabama,Jefferson,Birmingham,JEFFERSON STATE COMMUNITY COLLEGE                                ,2601 CARSON ROAD                                  ,35215,3098,5,1,2016,189,1360,13.8,A,5,7,4,0,2015,205.0,1568.0,13.0,A,2014,222.0,1588.0,13.9,A,33.5277,-86.7987,744189.0,556.0,False,35.7,47.3,52.7,27.9,3.11,33770.0,10.2,46.1,87783.0,776.0,25.7,60.2,10.7,24.6,71.6,0.8,0.2,0.0,1.5,1.3
1023,AL,Alabama,Perry,Marion,JUDSON COLLEGE                                                   ,302 BIBB STREET                                   ,36756,2504,6,2,2016,19,107,17.7,A,5,7,4,0,2015,21.0,132.0,15.9,A,2014,17.0,121.0,14.0,A,32.6318,-87.3172,3314.0,121.0,False,22.7,45.3,54.7,15.9,5.32,22839.0,3.2,73.9,95760.0,431.0,17.7,36.2,11.1,38.7,60.1,0.7,0.2,0.0,0.4,0.0
